plant_ID	genotype	environment	pixels	pixels_per_cm2	cm2
HB25_P17	HIF:Col-0	F_Tu	19338	12958	1.492318176
HB25_P18	HIF:Col-0	F_Tu	30640	12958	2.364496272
HB25_P30	HIF:Col-0	F_Tu	33712	12958	2.601563262
HB25_P36	HIF:Col-0	F_Tu	21608	12958	1.66749463
HB25_P5	HIF:Col-0	F_Tu	29606	12958	2.28470224
HB25_P6	HIF:Col-0	F_Tu	34507	12958	2.662913605
HB27_P1	HIF:Col-0	F_Tu	8447	12958	0.65185705
HB27_P2	HIF:Col-0	F_Tu	26892	12958	2.075262198
HB27_P25	HIF:Col-0	F_Tu	26372	12958	2.035133671
HB27_P28	HIF:Col-0	F_Tu	23917	12958	1.845680723
HB27_P32	HIF:Col-0	F_Tu	23755	12958	1.833179143
HB27_P8	HIF:Col-0	F_Tu	29177	12958	2.251596206
HB25_P10	HIF:Est-1	F_Tu	30372	12958	2.343814647
HB25_P15	HIF:Est-1	F_Tu	26501	12958	2.045088633
HB25_P25	HIF:Est-1	F_Tu	17276	12958	1.333193133
HB25_P27	HIF:Est-1	F_Tu	42435	12958	3.274719299
HB25_P28	HIF:Est-1	F_Tu	31292	12958	2.414811271
HB25_P31	HIF:Est-1	F_Tu	38042	12958	2.935710418
HB25_P7	HIF:Est-1	F_Tu	31933	12958	2.464277398
HB27_P12	HIF:Est-1	F_Tu	36693	12958	2.831607759
HB27_P14	HIF:Est-1	F_Tu	26057	12958	2.010825045
HB27_P34	HIF:Est-1	F_Tu	14882	12958	1.148447569
HB27_P37	HIF:Est-1	F_Tu	29955	12958	2.311634655
HB27_P38	HIF:Est-1	F_Tu	27721	12958	2.13923633
HB27_P40	HIF:Est-1	F_Tu	22013	12958	1.698748578
HB27_P5	HIF:Est-1	F_Tu	24281	12958	1.873770692
1	Est-1:acd6-null	F_Z	16056	7974	2.0134224
2	Est-1:acd6-null	F_Z	21304	7974	2.6715216
3	Est-1:acd6-null	F_Z	41271	7974	5.1753834
4	Est-1:acd6-null	F_Z	35473	7974	4.4483142
5	Est-1:acd6-null	F_Z	59187	7974	7.4220498
6	Est-1:acd6-null	F_Z	52890	7974	6.632406
7	Est-1:acd6-null	F_Z	46011	7974	5.7697794
8	Est-1:acd6-null	F_Z	30921	7974	3.8774934
9	Est-1:acd6-null	F_Z	29963	7974	3.7573602
10	Est-1:acd6-null	F_Z	44255	7974	5.549577
11	Est-1:acd6-null	F_Z	33708	7974	4.2269832
12	Est-1:acd6-null	F_Z	37479	7974	4.6998666
13	Est-1:acd6-null	F_Z	28486	7974	3.5721444
14	Est-1:acd6-null	F_Z	60441	7974	7.5793014
15	Est-1:acd6-null	F_Z	17832	7974	2.2361328
16	Est-1:acd6-null	F_Z	21171	7974	2.6548434
17	Est-1:acd6-null	F_Z	22745	7974	2.852223
18	Est-1:acd6-null	F_Z	43468	7974	5.4508872
1	Est-1	F_Z	25433	7974	3.1892982
2	Est-1	F_Z	28252	7974	3.5428008
3	Est-1	F_Z	31454	7974	3.9443316
4	Est-1	F_Z	30845	7974	3.867963
5	Est-1	F_Z	70309	7974	8.8167486
6	Est-1	F_Z	57398	7974	7.1977092
7	Est-1	F_Z	36713	7974	4.6038102
8	Est-1	F_Z	31767	7974	3.9835818
9	Est-1	F_Z	34186	7974	4.2869244
10	Est-1	F_Z	32867	7974	4.1215218
11	Est-1	F_Z	28911	7974	3.6254394
12	Est-1	F_Z	57546	7974	7.2162684
13	Est-1	F_Z	70290	7974	8.814366
14	Est-1	F_Z	42697	7974	5.3542038
15	Est-1	F_Z	48217	7974	6.0464118
16	Est-1	F_Z	30529	7974	3.8283366
17	Est-1	F_Z	37361	7974	4.6850694
18	Est-1	F_Z	29514	7974	3.7010556
GH09_P1	HIF:Col-0	GH_Tu	166629	14310	11.6444139
GH09_P14	HIF:Col-0	GH_Tu	270836	14310	18.92663632
GH09_P18	HIF:Col-0	GH_Tu	229113	14310	16.01093808
GH09_P21	HIF:Col-0	GH_Tu	229525	14310	16.03972958
GH09_P34	HIF:Col-0	GH_Tu	217043	14310	15.167459
GH09_P5	HIF:Col-0	GH_Tu	289866	14310	20.25649604
GH10_P13	HIF:Col-0	GH_Tu	83849	14310	5.859559026
GH10_P14	HIF:Col-0	GH_Tu	124100	14310	8.672390549
GH10_P27	HIF:Col-0	GH_Tu	50296	14310	3.514798993
GH10_P30	HIF:Col-0	GH_Tu	151144	14310	10.56228684
GH10_P31	HIF:Col-0	GH_Tu	115937	14310	8.101941524
GH10_P4	HIF:Col-0	GH_Tu	118635	14310	8.290483906
GH10_P8	HIF:Col-0	GH_Tu	155061	14310	10.83601572
GH09_P12	HIF:Est-1	GH_Tu	141152	14310	9.864023133
GH09_P15	HIF:Est-1	GH_Tu	136211	14310	9.518734803
GH09_P31	HIF:Est-1	GH_Tu	104113	14310	7.275653483
GH09_P33	HIF:Est-1	GH_Tu	130770	14310	9.138505335
GH09_P35	HIF:Est-1	GH_Tu	97755	14310	6.831341967
GH09_P40	HIF:Est-1	GH_Tu	136997	14310	9.573662273
GH10_P10	HIF:Est-1	GH_Tu	143382	14310	10.01986061
GH10_P18	HIF:Est-1	GH_Tu	79188	14310	5.533837734
GH10_P20	HIF:Est-1	GH_Tu	95919	14310	6.703038107
GH10_P22	HIF:Est-1	GH_Tu	36176	14310	2.528061245
GH10_P32	HIF:Est-1	GH_Tu	75318	14310	5.263393323
GH10_P39	HIF:Est-1	GH_Tu	95131	14310	6.647970873
GH10_P6	HIF:Est-1	GH_Tu	71008	14310	4.96220071
GH01_P17	Est-1:acd6-null	GH_Tu	443603	14310	30.99998763
GH01_P18	Est-1:acd6-null	GH_Tu	186532	14310	13.03528085
GH01_P33	Est-1:acd6-null	GH_Tu	231337	14310	16.16635626
GH03_P11	Est-1:acd6-null	GH_Tu	332818	14310	23.25807959
GH03_P8	Est-1:acd6-null	GH_Tu	170679	14310	11.92743712
GH04_P9	Est-1:acd6-null	GH_Tu	312590	14310	21.8445009
GH05_P37	Est-1:acd6-null	GH_Tu	219807	14310	15.36061361
GH06_P27	Est-1:acd6-null	GH_Tu	224438	14310	15.68423844
GH08_P19	Est-1:acd6-null	GH_Tu	319398	14310	22.32025944
GH08_P40	Est-1:acd6-null	GH_Tu	217994	14310	15.23391705
GH02_P24	Est-1:acd6-null	GH_Tu	232734	14310	16.26398181
GH02_P32	Est-1:acd6-null	GH_Tu	293973	14310	20.54350255
GH02_P35	Est-1:acd6-null	GH_Tu	316425	14310	22.11249943
GH03_P12	Est-1:acd6-null	GH_Tu	282768	14310	19.76047164
GH04_P4	Est-1:acd6-null	GH_Tu	258534	14310	18.06694455
GH04_P5	Est-1:acd6-null	GH_Tu	236858	14310	16.55217631
GH05_P20	Est-1:acd6-null	GH_Tu	193812	14310	13.54402383
GH06_P37	Est-1:acd6-null	GH_Tu	200595	14310	14.01803531
GH08_P15	Est-1:acd6-null	GH_Tu	309267	14310	21.61228209
GH08_P33	Est-1:acd6-null	GH_Tu	230726	14310	16.12365819
GH01_P20	Est-1	GH_Tu	104679	14310	7.315206852
GH01_P21	Est-1	GH_Tu	195396	14310	13.65471735
GH01_P36	Est-1	GH_Tu	102103	14310	7.135190107
GH01_P9	Est-1	GH_Tu	114505	14310	8.001870103
GH02_P36	Est-1	GH_Tu	134902	14310	9.427258903
GH03_P15	Est-1	GH_Tu	81827	14310	5.718257062
GH04_P25	Est-1	GH_Tu	106509	14310	7.443091418
GH04_P28	Est-1	GH_Tu	95052	14310	6.642450173
GH04_P7	Est-1	GH_Tu	159718	14310	11.16145748
GH04_P8	Est-1	GH_Tu	91056	14310	6.363200595
GH05_P28	Est-1	GH_Tu	164838	14310	11.51925474
GH06_P14	Est-1	GH_Tu	124001	14310	8.665472204
GH06_P22	Est-1	GH_Tu	73908	14310	5.164859313
GH06_P23	Est-1	GH_Tu	108728	14310	7.59816019
GH06_P32	Est-1	GH_Tu	127156	14310	8.885950787
GH06_P39	Est-1	GH_Tu	74962	14310	5.238515232
GH07_P1	Est-1	GH_Tu	128483	14310	8.978684568
GH07_P2	Est-1	GH_Tu	72053	14310	5.035227689
GH07_P28	Est-1	GH_Tu	74452	14310	5.202875271
GH07_P31	Est-1	GH_Tu	173175	14310	12.10186328
GH08_P24	Est-1	GH_Tu	135707	14310	9.483514136
GH08_P3	Est-1	GH_Tu	107311	14310	7.499137004
