#pheatmap(DATA BELOW, color=inferno(length(mat_breaks) - 1),  border_color=NA, 
#         breaks=mat_breaks, cluster_rows=TRUE, cluster_cols=TRUE, clustering_distance_cols=cluster_cols, labels_col=xlabel1,
#         labels_row=rownames(combined_ITSreads), fontsize_col=7, clustering_distance_rows=cluster_rows,
#         annotation_col=annotations, annotation_colors= annot_colors, 
#         main=paste("Subsampled to ", "threshold", sep="", collapse=""))
CORNER	RM109S73	RM109S169	RM109S81	RM109S177	RM109S1	RM109S9	RM109S105	RM109S113	RM109S121	RM109S33	RM109S129	RM109S41	RM109S137	RM109S49	RM109S145	RM109S57	RM109S65	RM109S161	RM109S170	RM109S82	RM109S178	RM109S98	RM109S106	RM109S26	RM109S122	RM109S34	RM109S130	RM109S42	RM109S138	RM109S146	RM109S154	RM109S162	RM109S91	RM109S11	RM109S27	RM109S35	RM109S59	RM109S67	RM109S4	RM109S12	RM109S36	RM109S44	RM109S60	RM109S77	RM109S85	RM109S5	RM109S29	RM109S61	RM109S69	RM109S78	RM109S6	RM109S14	RM109S22	RM109S54	RM109S62	RM109S79	RM109S186	RM109S87	RM109S15	RM109S39	RM109S8	RM109S16	RM109S32	RM109S48	D1AgITS1F1F3F5_WILD	H12AgITS1F2F4F6_WILD	E8AgITS1F1F3F5_WILD	C5AgITS1F1F3F5_WILD	E2AgITS1F1F3F5_WILD	D7AgITS1F1F3F5_WILD	B6AgITS1F1F3F5_WILD	C3AgITS1F1F3F5_WILD	C10AgITS1F1F3F5_WILD	A9AgITS1F1F3F5_WILD	F8AgITS1F1F3F5_WILD	B11AgITS1F1F3F5_WILD	G2AgITS1F1F3F5_WILD	D9AgITS1F1F3F5_WILD	D3AgITS1F1F3F5_WILD	E10AgITS1F1F3F5_WILD	A7AgITS1F1F3F5_WILD	A1AgITS1F1F3F5_WILD	B8AgITS1F1F3F5_WILD	B4AgITS1F1F3F5_WILD	H5AgITS1F2F4F6_WILD	E4AgITS1F1F3F5_WILD	H3AgITS1F2F4F6_WILD	A3AgITS1F1F3F5_WILD	C8AgITS1F1F3F5_WILD	F12AgITS1F1F3F5_WILD	D11AgITS1F1F3F5_WILD	C6AgITS1F1F3F5_WILD	B2AgITS1F1F3F5_WILD	D5AgITS1F1F3F5_WILD
Leptosphaeriaceae	0.477840302257558	0	0	0	0.388422746604973	0.299466782125869	0	0	0	0	0.0936435227380602	0	0	0	0	0.456020010597107	0	0	0	0.22328327139326	0	0	0	0	0	0	0	0	0	0	0	0	0	0.576058524876033	0	0	0	0	0.0604022900633549	0.322612926145386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110498924021966	0.147660398320486	0.386512779323349	0.122871388405405	0	0.555389693317031	0	0.133901887646069	0	0.314105991660348	0.826712306313431	0.173572140019407	0.238044638745374	0.0767348759193551	0	0	0.0825516470518083	0.165793940076968	0.066044378239636	0	0	0.416956320275974	0.131556172993976	0.430331482911935	2.35027860557201	0.0973861733914525	0.184281581159458	0	0.402993266542511	0.125087983430907
Helotiaceae	7.38414026447418	0.143215630604882	4.08046387241591	0.0594223115086406	5.50256037442664	3.59538348400108	0.152153960323378	0	0.692543361064444	2.74859456772154	0	1.99679914438777	0	3.55228807949897	0.942809041582063	3.68361436862497	2.85617905061292	0	0.139027520672755	1.76662085552706	0	0	0	4.96200592761104	0.370539837489909	5.57664553736824	0.631046530446577	1.04282625076805	0	0.200845329318348	0.116969065188078	5.36979301250738	6.82170145193435	1.32695208733007	1.58916137378586	1.95046627898562	3.32040436779709	1.47613618101023	6.74182643814976	1.67395627735914	0.184239874339605	1.11696050411566	0.208992006731081	0.0816034292439991	0.196836664794739	0.145417054319765	0	0	0.0833898143144186	0	0.208940679062228	0.0695064836065389	0	0.263529238631828	1.19987898678908	4.7476573641352	0.193130823812005	7.72935743174979	0	0.063075478702321	3.7350779204032	7.63378134556496	3.11363723675467	1.91467693881781	1.51105005981678	3.64873594927884	4.678517132956	1.38105108469439	3.82634996734099	4.34575334542856	3.0714378554577	3.29717821387285	6.64505337231057	2.62382452983071	1.22914253319396	7.66866779616051	3.67430208623867	3.60408935076304	4.83854160665947	7.9251903431595	3.9624790584868	1.36465635632679	2.66969643813603	2.1267326760471	5.04379932423325	1.61486488452477	1.22000175907357	0.625257148745709	1.20843595623329	2.52641582775869	5.97045779752076	3.16862125262239	1.98109894029372	4.92630719522804
Mrakiaceae	3.0878985349775	0.101268743572619	5.17553434418484	0	0.936453328971005	0.996438472314112	0.10758909712905	0	0.199920047968022	6.51306727499667	0	1.7963083046156	0.323423113676575	1.02740492828833	0	2.62459226040973	6.8949287510711	0	0.160535152970363	7.0147914319232	0	0	0	6.53228595402186	0	1.84845325384885	0.765256323444349	3.0278785273001	0.0899478453701443	0	0	0.102323544905905	4.15421385450396	6.03221744450964	1.21825335328688	2.9243255280911	3.28916750814938	1.67998386214623	2.59800072999618	2.57546910508446	0.184239874339605	0.536570470191722	0.208992006731081	0.115404676373017	0.0803582319030607	0	0.27348549437221	0.0603264043053186	0.0589655031836124	0	0	0.120388761061979	0.230021853114118	0.0680429568306527	0.12845609923999	2.69830663124255	0.334512399350025	3.31038762134329	0.120648417962749	0	3.02860222924325	0.227057812116128	3.15060562264998	0.36847974867921	0.37472008274863	0.373554543120351	1.15285506421811	0.29249240873763	0.780373302819466	0.606761241329816	0	0.476560310830595	0.604616488533406	0.104701997220116	1.36327296952901	0.506045399369258	3.21360262306255	0.491342943855625	0.55911196031369	4.00616808384888	0.0825516470518083	0.11723401930806	0.443039157826602	0	1.45692240667675	6.16757188659817	0.294168545674253	0.143443827637312	2.85078658039919	0.77908938713162	0.150465280944653	0.231403378166874	0	0.484463676638572
Bulleribasidiaceae	2.5767956433802	0	2.90347390072868	0.118844623017281	0.29131705995373	1.42724390857218	0	0.166547196482245	0.141364821613328	2.48895823993109	0.0764596161416539	0.584081660324569	0	2.99056508247568	0	3.57256099986249	1.11870772552177	0	3.85702200856613	5.36065888444149	1.43065845879825	0.160169228104546	0	2.81960722229545	0	1.64216149468849	0	3.05433738883153	0	0	0	0.20464708981181	1.8395168136328	4.4991609072163	5.6052040451523	1.40039262411933	0.787011313172187	2.22330306430618	2.9256165792752	1.66796714804258	0	0.309789105404395	0.255961888405728	0.0816034292439991	0.0803582319030607	0	0	0	0	0	0	0	0	0	0.090832178857369	1.21115861382208	0	2.25963261667644	0.120648417962749	0.199462177204776	0.980203746722279	1.81646249692902	2.78718873645679	0.974905778168771	0.690065559342354	1.58072508185518	0.600501198730268	0.597749625483141	1.14129132351873	2.06607277616688	0.930584214075518	0.836217020331468	1.08648870815963	1.58442872443376	0.219001439939201	0.876496342644037	1.0908575758291	0.740004344554389	0.768917053569585	0.785674201318386	0.639442308467293	0.52428647289669	0.878663303990578	0.438914513598137	1.61490141278942	3.92913584443266	1.39536393046487	0.836414058565646	3.51865775274498	0.364385695039776	2.06581762145125	0.379353356661272	2.65282644703207	1.0760475204711
Chaetomiaceae	0.58131781720773	0.202537487145239	1.57624516675254	0	0.388422746604973	2.90012689713286	1.26159399189817	0.235533304040407	0	0.462657406837649	0.305838464566616	0.533191167974728	0.723196067675465	0.603861164759398	1.97765292989218	0.372338779487163	1.53232202647239	1.23635664679976	0.139027520672755	0.244594568911273	0.825991046305587	0.244662537263909	1.19301384771099	0.359266988650733	0.676510091491738	4.46543093758502	0.216447174261354	0.287928055428603	0.0899478453701443	1.46217606818631	0.360522871679789	0.270722653087575	0	0	0.218804761462222	0.126785590977084	0.487269544885977	0.178244907420789	0.81038175946993	0.340717224472964	0.681106350766558	1.19980804606772	0.330445377019728	0.621473201782717	0.770769083436744	0.251869726368836	5.26059851954551	0.341257676551137	0	0.110370362112207	0.116801390412027	0.170255418651144	2.24197569711516	1.23418745234705	0.181664357714738	0	0	0	1.46775135224713	0.154502738102474	0.160066601562257	0	0	0.864161610190372	0.110498924021966	0	0	0.158626280339839	0	0	0	0.154616581754914	0	0	0	0.0867860700097035	0	0.15346975183871	0	0	0	0	0.161775027066481	0	0	0	0	0	0.356348322549899	0	0	0	0	0.125087983430907
Filobasidiaceae	2.12410629775468	0.101268743572619	2.16443896760786	0.0420179194215392	1.04811183815044	1.54367584351717	0	0	0.141364821613328	1.73473846796969	0	1.69660390744668	0	1.70234968038747	0	3.66356573431008	2.10794303706785	0	0.393229210557032	0.67725169428618	0.698089847152826	0	0	1.23609971696904	0	2.23109147866216	0	0.748873467158313	0	0	0	0	2.03893775304989	0.683585927024663	3.26378675920703	2.31824717100706	0.634508805762108	0.608822263541283	1.02861393487563	0.525556770995151	0.106370941045434	0	0.147779665173332	0	0.0803582319030607	0.0839565754562786	0	0.0603264043053186	0.0589655031836124	0.0332779162819861	0.0738716855153118	0	0	0	0.0642280496199949	2.38135272211402	0	0.603912219398768	0	0	1.03735013920036	1.62680755946693	7.1913690959152	0	0.65837332377264	0.959224496349707	0.574188970129612	0.506611712761779	1.36720076290071	1.14605097435537	0.34160398259347	1.09330433442784	1.08297823465929	0.70236234949252	0.18966081045272	1.30756398777823	1.02386870528168	1.16374201262244	1.07484125529822	0	0.350236976570713	0.0828969700384839	1.40567511657859	0.224177307687128	1.81830734916683	3.03548783063913	0.554256008616572	0.286887655274623	2.54483604112141	0.292158520174357	0.864357232515501	0.252165985155833	2.163940006408	0.353802245315779
Orbiliaceae	1.34476181063259	0	2.70054703060771	0	7.47682258729508	1.35825365387968	0	0	0.141364821613328	0.64460256389031	0.0936435227380602	3.61922529769952	0.228694676873174	1.96163177796429	0.298142396999972	1.26266223399803	2.65189567348888	0	0	0.864772391592807	0	0	0	0.683705149504427	0	1.83796549116771	0	1.1195051225862	0.237979629815494	0.200845329318348	0.218829083392507	0.177229578587583	2.34407392487085	0.479852792452528	2.19078096686173	0.828160012349522	5.59645657629764	7.18896574537799	3.74932345801088	0.959530995745403	0.411972883189376	0	0.147779665173332	0.115404676373017	0.160716463806121	0.0839565754562786	0	0.0603264043053186	0	0.0332779162819861	0	0.0695064836065389	0.727392967453308	0.204128870491958	0.12845609923999	1.43430996667418	0	0	0	0.063075478702321	5.96019764196917	0.293130374984018	0.911909506128991	0.260554529020984	0	0	0	0	0	0.14106912317172	0	0.133901887646069	0	0.405509091548164	0.109500719969601	0	0	0	0.142784312292706	2.00308404192444	0.565945578881413	0.865469775861746	0	0.242139166931246	0	0.49334937136406	0.0657780864969882	0.202860206483395	0	0.27544969439562	1.76756683218088	0	0.930673083679701	0
Ceratobasidiaceae	1.41750341067034	0	0.294154000516358	0	0.227733021518733	7.98355237029046	0	1.98230813942069	0.199920047968022	0.224421806690116	2.73657073461983	0.146020415081142	0.323423113676575	0.642361538860953	0	0.566212094110372	0.321458299495415	2.48165622801134	0.113515495284163	0.0998553146147727	2.70369035217938	0	3.61163693203643	0.228750515404086	8.78942572507778	0.399351881655502	0.15305126468887	7.13389246696537	0.0899478453701443	0.200845329318348	6.02816393542376	5.28231364074732	0.310935092337281	3.53960200274029	0.309436661171684	7.43724752171423	5.43075824628155	5.02969735081804	1.4770799279825	8.64573936080149	0	0.692709498373074	2.51225430794664	3.30871466407143	6.14674818402081	0.0839565754562786	0	9.68422006171141	0.629579291661831	3.91931356568151	1.81700321467196	0.0695064836065389	0.890870806374748	5.84971596009083	3.85528834405842	0	8.38285670044979	0.131784450404935	1.86517927848839	5.88531735879771	2.27215654446203	0.90823124846451	0.102597835208515	8.60619142764914	7.81735959970572	8.73870155894647	8.27017760548167	7.98632518529493	0.130062217136578	1.42472830612319	7.50997371472909	1.02269255972597	0.106882104764792	6.24975333869766	9.10108434259518	0.459228717020633	0.266141996957019	0.15346975183871	3.62252176644282	0	2.29071524023482	8.69272663935822	0.0934008554249918	2.11290333408897	4.11169316387709	0.18646853515705	9.57991834950835	4.91072564265695	0.356348322549899	9.37743392785682	3.5367343588809	8.65213486666753	4.4466431156514	4.45425645459398
Phaeosphaeriaceae	1.25700158029902	4.97764461912068	0.975598450294768	0.552659443586273	0.217134916353974	1.15982985991582	0.274299452855427	0.0679926082454255	8.89588054368324	0.861908303093389	1.07043462598316	6.00935068576751	0.323423113676575	3.07598178599902	0.666666666666667	0.773219547694466	0.69442929479364	0	0.212368045721646	0.89313308557304	0.312195270527231	0	0.93977772547955	0.835278782185005	0.370539837489909	0.825483356637692	0.483990595186131	1.64218503116502	0	0.602535987955043	1.07203919038518	4.85686657921294	2.05729511923995	0.520473429761437	2.02024463622243	0.501831826323055	1.08956782573043	0.0727681787384266	0.579358413532232	0.506156801770028	0	0	0.946251555871073	0.182470814986676	2.04084597785037	0.524308645676844	0.77353379050698	0.693097617544568	0	0	0.799044449791221	0	2.18217890235992	0	0.48914625293805	0.88719775523121	0.193130823812005	1.8117366581963	2.25389845027744	0.289048155648961	2.78626255609808	0.972203468478169	0.502624689950035	0.902587364813048	0.65837332377264	0.528285901166885	1.72555488645997	0.702268479687992	2.36448675147534	5.78727373755837	0.963018429606719	1.05999788000636	2.37557349992845	1.24326733218775	0.589679423536184	0.930676917081783	1.17826084797369	3.1235901842541	2.62505764219999	0	1.30002463779717	1.49214546069271	2.71264771880545	0.0915200026240616	3.48198234592969	0.18646853515705	0.335403746614937	0.517194075695146	1.59363814577919	1.44774954867561	2.91763004670352	0.440578906012334	1.89020596849372	1.39852617059938
Sporidiobolaceae	1.29282075890623	0.175402609086441	4.10763707304536	0.0594223115086406	0.29131705995373	0.816208865691583	0.274299452855427	0	0.424094464839985	2.23014759548735	0.0540651130606839	1.36459443847649	0	0.339340679447309	0	3.54455957886066	2.00321230058436	0.148839849643251	0.573225152601513	1.79461976077143	0	0	0	2.44452865918768	0	4.32524139509528	0.15305126468887	1.51393926365005	0.0899478453701443	0	0.116969065188078	0.177229578587583	2.50790992725899	0.973716626543225	1.24737905956952	0.828160012349522	0.406410894559028	1.67287696553144	0.981421048405312	1.60684855893187	0	0.309789105404395	0.295559330346664	0.230809352746034	0.0803582319030607	0.118732527660669	0	0	0	0	0	0	1.81119388261535	0.117853858327906	0	3.55885853340968	0.841837743879287	0.475155593243834	0	0	0.226368358812315	0	1.94665705356915	0	0.174714139453653	0.132071475291721	0.124315558676267	0.100324068526856	0	0.614906051959418	0.191964865966106	0.244470281187581	0.123416823915013	0.256466468239587	0.18966081045272	0.122734037232784	0.119022319372687	0.0767348759193551	0	0.277777777777778	0.142983646942226	0	0.161775027066481	0.129428828939369	0.435176969419534	0.456752764218999	0.0657780864969882	0.143443827637312	1.79947082168487	0.0973861733914525	0.106395020489103	0	0.658085248537712	0.125087983430907
Didymellaceae	1.50196996710339	0.350805218172882	0.368741554134281	0	0	0.423509984762633	0	0	0	0.194354985756841	0.120893268014901	0	0.686084030619522	0	0	0.131641637937048	0	0	0.196614605278516	0.468362941371257	0	0	6.43778082181365	0.972301816606998	0.213931274920279	0.155447509108863	0	0.388812635823311	0	0	0	0.992063575159583	0.394668518981929	0.831129416681582	0.618873322343368	1.07581141363968	0.753505965341964	0.439630624555578	1.0972620893917	0	0.106370941045434	0	0	0	3.36162602181231	0	0	0.0603264043053186	0	0	0	0	0	0	2.1408279379075	2.30500738263227	0	2.74542152573013	0	0.0892021974339977	0.940178405559988	0	0	0	0.753502201566504	0.401679710612844	0.189895152564906	0.646292601783375	1.62447657137037	3.97504654373702	3.70165474904072	1.17498429549884	0.67032493355495	4.79233291047701	0.154857403270628	0.985700274554624	0.266141996957019	0.911176166672831	0.386661745548494	0.277777777777778	7.84718432039237	3.42295231180074	0.532466800194066	8.62378760790506	1.3280029699765	0	0.91854098946374	1.12947782829459	1.49071198499986	0	2.49064357363963	0.208584186324063	3.63997593682697	0.599900894125562
Pleosporaceae	1.31036322657162	0	1.36619978558808	0	0.434269832707947	0.415878549159506	0	0	0.141364821613328	1.13881629047004	0	1.02907276734121	0	1.85347535341357	4.90804328514826	0.279254084615373	0.84031273651479	0	0	1.23917186618707	0	0.369894987848216	0	1.04992914878585	0.370539837489909	0.0983136370767556	0	0.729075950058612	0	0	0.116969065188078	0.250640473692228	0.782502822420698	0.50729474818221	1.53553558708292	0.585597560639882	0.634508805762108	0.59563321354069	1.030385880952	0.60355351909032	0	0	0	0.115404676373017	0	0	0	0	0	0	0.295486742061247	0	0	0.245332369787101	0.333738735638658	0.189151196964384	0	0	0.381523796858258	2.64541294844376	0.160066601562257	2.35600974558517	0	0	2.88357734680697	0.770102419107276	1.55435881341229	3.07178471013513	2.3411199084584	2.27029268062983	2.40658924305604	3.20806120666573	0.760792397543665	3.31758319485265	1.19952028780813	0.660943017943522	1.44306893071729	1.49189650007353	2.37783398525505	1.46986183948033	1.32082635282893	0.678540943484332	0.560405132549951	3.75455163921856	0.729813964398318	3.77109274254545	0.764272300644679	1.62288165186716	3.59894164336975	0.681703213740167	0.857784078318652	0.566820201265136	1.58231531261792	2.64465699263032
Taphrinaceae	1.15870115397982	0	0.566907774877287	0	0	0.887640672650546	0	0	0	0.501822415392417	0	0.188511545271853	0	0.391836865251789	0	1.30650595200204	1.45743519345838	0	0.424736091443292	1.18571616494461	0	0	0	1.01787553575728	0	0.286631044200921	0	0.231609231774234	0	0	0	0	1.41921803327567	1.06028498669635	0.513142650743406	0.301810074577785	0.14368794974539	0.371046363355845	0.283311853242586	0.228121787775837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.768335794210757	0	0	0	0	0.45273671762463	0.262183777893708	1.02597835208515	0	0	0.524142418360959	0	0	0	0.50863195698038	0.0783693283597874	0	0.0617084119575067	0.377508419620616	0	0	0	0	0	0	0	0.11723401930806	0	0.0915200026240616	0	0	0.271209998478097	0.202860206483395	0	0	0.237906498281117	0.0578508445417186	0	0.176901122657889
Holtermanniales_fam_Incertae_sedis	0.702278951440982	0	0.521479306867233	0.0594223115086406	0.194211373302486	0.265448930999792	0	0.0961560687218015	0	1.05859554496831	0.0540651130606839	0.70028930969335	0	0.603861164759398	0	0.671243280642323	0.355385521723995	0.148839849643251	0.240802729455544	0.546930083012863	0	0	0	0.550904193237156	0	0.455861581577226	0	0.0987585082576786	0	0.200845329318348	0	0.228802402108356	0.302174594306328	0.419619094187767	0.513142650743406	0.283501199992244	0.850069374563734	0.224286589992853	0.341686951223961	0.253078400885014	0.150431227468841	0	0	0.163206858487998	0	0	0.38676689525349	0.0603264043053186	0.0589655031836124	0	0.0738716855153118	0.0982970117892305	0	0.0962272723738761	0.467587259207725	0.681994339470473	0	0.52713780161974	0.120648417962749	0	0.4383604418942	0.293130374984018	0.229415733870562	0	0.156269076979498	0.238095238095238	0.277978039860997	0.187689146037363	0	0.0997509336107633	0.110830967040482	0.231924872632371	0.123416823915013	0	0.109500719969601	0.368202111698351	0.168322978281956	0.1879612914782	0	0	0.165103294103617	0	0.0934008554249918	0.303537509516354	0.108794242354883	0	0.186048524061983	0.351364184463153	0	0.27544969439562	0.638370122934617	0.141705050316284	0.164521312134428	0.176901122657889
Plectosphaerellaceae	1.46503062491505	0	0.248605505081814	0	0.557829700303158	0	0	0.166547196482245	0	0.404582165676741	0	0.4769006786376	0	0.195918432625894	0	0.372338779487163	0	0	0	0.564866960812975	0	0	0	0	0	0.380767079103354	0	0.296275524773036	0	0	0	0.306970634717715	0.463514668704223	0	0.451077571448409	0.10352000154369	0.92564486518016	0.13613679674936	0.191008812490358	1.90545516271746	0	1.60971141057517	0	0.115404676373017	0	0.265494002989631	0	0	0	0	0	0	0	0.136085913661305	1.46462487557533	0	0	0	0	0	1.59264257654797	1.43603969364308	0.369921755595907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Teratosphaeriaceae	0.98856370411604	0	0	0	0.227733021518733	0	0	0	0	0.250911207696209	0	0.1192251696594	0	0	0	0	0	0	0	0.299565943844318	0	0	0	0	0	0.0983136370767556	0	3.78452603068001	0	0	0	0	0	0	0.818692451986433	0	0.175981079531438	0.575282964989165	0.0854217378059901	0	0.106370941045434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.423496420940996	0	0	0	0	0.147660398320486	0.101503228615292	0	0	0.199501867221527	0	0	0.0617084119575067	0.277015446416203	0	0	0.119022319372687	0	0	0	0	0	0	0.158517294453712	0	0.18646853515705	0.0657780864969882	0	0.50395263067897	0	0.150465280944653	0	0	0.279705234119875
Herpotrichiellaceae	0.708751705335168	0.143215630604882	0.157231926983019	0.072777171266441	0.27465635809148	0.697736486963305	0.456461880970135	0.215011506111089	0.632202701509068	3.55019409558738	0.0936435227380602	0.303965733302346	0.646846227353151	0.939591795185283	1.15470053837925	0.727014707954274	0.899700468746938	0.297679699286501	1.08880238133649	0.654795086911207	0	0	1.04095945625085	1.27362896764587	0	0.219835975618869	0.865788697045416	1.24137519977586	0.348366507145809	0.568076377322596	0	1.45068662234966	0.806169145102041	0.67360603476497	1.42643252719431	0.273888179805627	1.69710007154372	0.736721659300871	0.325276286719509	0.253078400885014	0.398003617300743	0.309789105404395	0	0.774158103874288	0.311226093891228	0	1.52270278931654	0.208976794589507	0	0.110370362112207	0	0.219798800345818	0.325300024316178	0.48113636186938	0.111246245212886	0.768335794210757	0.946143943885542	0	0.341245257923554	0.0892021974339977	0.953706847630346	0.507716702714037	0.760885910252682	3.18047334942595	0.25914294733808	0.161753862020657	0.189895152564906	0.265432535836263	1.15235417976803	0.518321055348816	0.872683907161097	0.535607550584276	1.51657132249548	0.58295604883929	0.409714177731321	0.781074630087331	0.336645956563912	1.51733394554472	3.06570919769169	0.277777777777778	0.0825516470518083	0.388821254710116	1.43637033222962	0.158517294453712	1.1427711863607	0.372937070314101	0.0930242620309913	0.320750149549792	1.88561808316413	0.168677800268708	0.150465280944653	0.081813448945636	0.668288729080597	0.279705234119875
